CVE,Code,Severity
CVE-2003-0212,1,7.5 HIGH
CVE-2003-0213,1,7.5 HIGH
CVE-2003-0214,1,4.6 MEDIUM
CVE-2003-0245,1,5.0 MEDIUM
CVE-2003-0251,1,5.0 MEDIUM
CVE-2003-0252,1,9.8 CRITICAL
CVE-2003-0253,1,5.0 MEDIUM
CVE-2003-0254,1,5.0 MEDIUM
CVE-2003-0261,1,4.6 MEDIUM
CVE-2003-0282,1,2.6 LOW
CVE-2003-0296,1,7.5 HIGH
CVE-2003-0297,1,7.5 HIGH
CVE-2003-0308,1,7.2 HIGH
CVE-2003-0323,1,7.5 HIGH
CVE-2003-0324,1,7.5 HIGH
CVE-2003-0328,1,7.5 HIGH
CVE-2003-0358,1,4.6 MEDIUM
CVE-2003-0359,1,4.6 MEDIUM
CVE-2003-0366,1,5.0 MEDIUM
CVE-2003-0367,1,2.1 LOW
CVE-2003-0380,1,7.5 HIGH
CVE-2003-0381,1,2.1 LOW
CVE-2003-0382,1,4.6 MEDIUM
CVE-2003-0385,1,7.2 HIGH
CVE-2003-0386,1,7.5 HIGH
CVE-2003-0390,1,4.6 MEDIUM
CVE-2003-0396,1,4.6 MEDIUM
CVE-2003-0407,1,10.0 HIGH
CVE-2003-0427,1,7.5 HIGH
CVE-2003-0434,1,7.5 HIGH
CVE-2003-0435,1,7.5 HIGH
CVE-2003-0438,1,1.2 LOW
CVE-2003-0440,1,4.6 MEDIUM
CVE-2003-0441,1,7.2 HIGH
CVE-2003-0445,1,7.5 HIGH
CVE-2003-0454,1,7.2 HIGH
CVE-2003-0455,1,4.6 MEDIUM
CVE-2003-0468,1,5.0 MEDIUM
CVE-2003-0489,1,7.2 HIGH
CVE-2003-0516,1,7.5 HIGH
CVE-2003-0517,1,5.5 MEDIUM
CVE-2003-0536,1,3.6 LOW
CVE-2003-0537,1,4.6 MEDIUM
CVE-2003-0539,1,4.6 MEDIUM
CVE-2003-0540,1,5.0 MEDIUM
CVE-2003-0542,1,7.2 HIGH
CVE-2003-0543,1,5.0 MEDIUM
CVE-2003-0544,1,5.0 MEDIUM
CVE-2003-0545,1,9.8 CRITICAL
CVE-2003-0577,1,7.5 HIGH
CVE-2003-0581,1,7.5 HIGH
CVE-2003-0596,1,3.6 LOW
CVE-2003-0606,1,4.6 MEDIUM
CVE-2003-0612,1,4.6 MEDIUM
CVE-2003-0615,1,4.3 MEDIUM
CVE-2003-0618,1,2.1 LOW
CVE-2003-0620,1,4.6 MEDIUM
CVE-2003-0625,1,7.5 HIGH
CVE-2003-0630,1,7.2 HIGH
CVE-2003-0644,1,4.6 MEDIUM
CVE-2003-0645,1,4.6 MEDIUM
CVE-2003-0648,1,10.0 HIGH
CVE-2003-0681,1,7.5 HIGH
CVE-2003-0682,1,7.5 HIGH
CVE-2003-0685,1,7.5 HIGH
CVE-2003-0688,1,5.0 MEDIUM
CVE-2003-0689,1,7.5 HIGH
CVE-2003-0693,1,10.0 HIGH
CVE-2003-0694,1,10.0 HIGH
CVE-2003-0695,1,7.5 HIGH
CVE-2003-0705,1,7.5 HIGH
CVE-2003-0706,1,5.0 MEDIUM
CVE-2003-0709,1,7.5 HIGH
CVE-2003-0723,1,7.5 HIGH
CVE-2003-0734,1,10.0 HIGH
CVE-2003-0740,1,4.6 MEDIUM
CVE-2003-0744,1,5.0 MEDIUM
CVE-2003-0761,1,7.5 HIGH
CVE-2003-0771,1,4.6 MEDIUM
CVE-2003-0773,1,7.5 HIGH
CVE-2003-0774,1,7.5 HIGH
CVE-2003-0775,1,5.0 MEDIUM
CVE-2003-0776,1,7.5 HIGH
CVE-2003-0777,1,5.0 MEDIUM
CVE-2003-0778,1,5.0 MEDIUM
CVE-2003-0779,1,7.5 HIGH
CVE-2003-0786,1,10.0 HIGH
CVE-2003-0787,1,7.5 HIGH
CVE-2003-0788,1,5.0 MEDIUM
CVE-2003-0789,1,10.0 HIGH
CVE-2003-0792,1,5.0 MEDIUM
CVE-2003-0795,1,5.0 MEDIUM
CVE-2003-0805,1,7.5 HIGH
CVE-2003-0826,1,7.5 HIGH
CVE-2003-0828,1,4.6 MEDIUM
CVE-2003-0832,1,5.0 MEDIUM
CVE-2003-0833,1,7.5 HIGH
CVE-2003-0850,1,7.5 HIGH
CVE-2003-0853,1,5.0 MEDIUM
CVE-2003-0854,1,2.1 LOW
CVE-2003-0855,1,7.8 HIGH
CVE-2003-0858,1,2.1 LOW
CVE-2003-0864,1,5.0 MEDIUM
CVE-2003-0865,1,7.5 HIGH
CVE-2003-0866,1,5.0 MEDIUM
CVE-2003-0885,1,6.4 MEDIUM
CVE-2003-0886,1,10.0 HIGH
CVE-2003-0900,1,5.0 MEDIUM
CVE-2003-0924,1,3.7 LOW
CVE-2003-0932,1,4.6 MEDIUM
CVE-2003-0935,1,6.4 MEDIUM
CVE-2003-0946,1,7.5 HIGH
CVE-2003-0949,1,4.6 MEDIUM
CVE-2003-0962,1,7.5 HIGH
CVE-2003-0963,1,7.5 HIGH
CVE-2003-0965,1,6.8 MEDIUM
CVE-2003-0967,1,5.0 MEDIUM
CVE-2003-0968,1,10.0 HIGH
CVE-2003-0969,1,7.5 HIGH
CVE-2003-0972,1,10.0 HIGH
CVE-2003-0977,1,7.5 HIGH
CVE-2003-0989,1,7.5 HIGH
CVE-2003-0991,1,5.0 MEDIUM
CVE-2003-0992,1,4.3 MEDIUM
CVE-2003-1000,1,7.5 HIGH
CVE-2003-1023,1,7.5 HIGH
CVE-2003-1029,1,5.0 MEDIUM
CVE-2003-1053,1,4.6 MEDIUM
CVE-2003-1083,1,10.0 HIGH
CVE-2003-1084,1,5.0 MEDIUM
CVE-2003-1092,1,7.5 HIGH
CVE-2003-1164,1,4.3 MEDIUM
CVE-2003-1294,1,2.1 LOW
CVE-2003-1295,1,2.1 LOW
CVE-2003-1307,1,4.3 MEDIUM
CVE-2003-1308,1,4.6 MEDIUM
CVE-2003-1399,1,1.9 LOW
CVE-2003-1418,1,4.3 MEDIUM
CVE-2003-1557,1,7.6 HIGH
CVE-2003-1562,1,7.6 HIGH
CVE-2003-1580,1,4.3 MEDIUM
CVE-2003-1581,1,2.6 LOW
CVE-2003-1598,1,7.5 HIGH
CVE-2003-1605,1,7.5 HIGH
CVE-2004-0014,1,7.5 HIGH
CVE-2004-0042,1,5.0 MEDIUM
CVE-2004-0045,1,7.5 HIGH
CVE-2004-0055,1,5.0 MEDIUM
CVE-2004-0057,1,5.0 MEDIUM
CVE-2004-0078,1,7.5 HIGH
CVE-2004-0079,1,7.5 HIGH
CVE-2004-0081,1,5.0 MEDIUM
CVE-2004-0082,1,7.5 HIGH
CVE-2004-0103,1,4.6 MEDIUM
CVE-2004-0107,1,4.6 MEDIUM
CVE-2004-0108,1,4.6 MEDIUM
CVE-2004-0110,1,7.5 HIGH
CVE-2004-0111,1,5.0 MEDIUM
CVE-2004-0112,1,5.0 MEDIUM
CVE-2004-0113,1,5.0 MEDIUM
CVE-2004-0129,1,5.0 MEDIUM
CVE-2004-0154,1,5.0 MEDIUM
CVE-2004-0156,1,5.0 MEDIUM
